code,pinyin,category,orgId,zwjc
000001,payh,A股,gssz0000001,平安银行
000002,wka,A股,gssz0000002,万科A
000004,ghwa,A股,gssz0000004,国华网安
000005,stxy,A股,gssz0000005,ST星源
000006,szya,A股,gssz0000006,深振业A
000007,stqx,A股,gssz0000007,*ST全新
000008,szgt,A股,gssz0000008,神州高铁
000009,zgba,A股,gssz0000009,中国宝安
000010,mlst,A股,gssz0000010,美丽生态
000011,swya,A股,gssz0000011,深物业A
000012,nba,A股,gssz0000012,南玻A
000014,shgf,A股,gssz0000014,沙河股份
000016,skja,A股,gssz0000016,深康佳A
000017,szha,A股,gssz0000017,深中华A
000019,slkg,A股,gssz0000019,深粮控股
000020,shfa,A股,gssz0000020,深华发A
000021,skj,A股,gssz0000021,深科技
000023,stst,A股,gssz0000023,ST深天
000025,tla,A股,gssz0000025,特力A
000026,fyd,A股,gssz0000026,飞亚达
000027,szny,A股,gssz0000027,深圳能源
000028,gyyz,A股,gssz0000028,国药一致
000029,ssfa,A股,gssz0000029,深深房A
000030,fagf,A股,gssz0000030,富奥股份
000031,dyc,A股,gssz0000031,大悦城
000032,ssda,A股,gssz0000032,深桑达A
000034,szsm,A股,gssz0000034,神州数码
000035,zgty,A股,gssz0000035,中国天楹
000036,hlkg,A股,gssz0000036,华联控股
000037,snda,A股,gssz0000037,深南电A
000039,zjjt,A股,gssz0000039,中集集团
000040,dxlt,A股,gssz0000040,东旭蓝天
000042,zzkg,A股,gssz0000042,中洲控股
000045,sfza,A股,gssz0000045,深纺织A
000046,stfh,A股,gssz0000046,*ST泛海
000048,jjzn,A股,gssz0000048,京基智农
000049,dsdc,A股,gssz0000049,德赛电池
000050,stma,A股,gssz0000050,深天马A
000055,fdjt,A股,gssz0000055,方大集团
000056,htgj,A股,gssz0000056,皇庭国际
000058,ssg,A股,gssz0000058,深赛格
000059,hjgf,A股,gssz0000059,华锦股份
000060,zjln,A股,gssz0000060,中金岭南
000061,ncp,A股,gssz0000061,农产品
000062,szhq,A股,gssz0000062,深圳华强
000063,zxtx,A股,gssz0000063,中兴通讯
000065,bfgj,A股,gssz0000065,北方国际
000066,zgcc,A股,gssz0000066,中国长城
000068,hksg,A股,gssz0000068,华控赛格
000069,hqca,A股,gssz0000069,华侨城A
000070,tfxx,A股,gssz0000070,特发信息
000078,hwsw,A股,gssz0000078,海王生物
000088,ytg,A股,gssz0000088,盐田港
000089,szjc,A股,gssz0000089,深圳机场
000090,tjjt,A股,gssz0000090,天健集团
000096,gjny,A股,gssz0000096,广聚能源
000099,zxhz,A股,gssz0000099,中信海直
000100,tclkj,A股,gssz0000100,TCL科技
000151,zcgf,A股,gssz0000151,中成股份
000153,fyyy,A股,gssz0000153,丰原药业
000155,cndl,A股,gssz0000155,川能动力
000156,hscm,A股,gssz0000156,华数传媒
000157,zlzk,A股,gssz0000157,中联重科
000158,csbm,A股,gssz0000158,常山北明
000159,gjsy,A股,gssz0000159,国际实业
000166,swhy,A股,qsgn0000301,申万宏源
000301,dfsh,A股,gssz0000301,东方盛虹
000333,mdjt,A股,9900005965,美的集团
000338,wcdl,A股,9900002961,潍柴动力
000400,xjdq,A股,gssz0000400,许继电气
000401,jdsn,A股,gssz0000401,冀东水泥
000402,jrj,A股,gssz0000402,金融街
000403,plsw,A股,gssz0000403,派林生物
000404,chhy,A股,gssz0000404,长虹华意
000407,slgf,A股,gssz0000407,胜利股份
000408,zgky,A股,gssz0000408,藏格矿业
000409,ydkj,A股,gssz0000409,云鼎科技
000410,syjc,A股,gssz0000410,沈阳机床
000411,ytjt,A股,gssz0000411,英特集团
000413,dxgd,A股,gssz0000413,东旭光电
000415,bhzl,A股,gssz0000415,渤海租赁
000416,stmk,A股,gssz0000416,*ST民控
000417,hfbh,A股,gssz0000417,合肥百货
000419,tckg,A股,gssz0000419,通程控股
000420,jlhx,A股,gssz0000420,吉林化纤
000421,njgy,A股,gssz0000421,南京公用
000422,hbyh,A股,gssz0000422,湖北宜化
000423,deej,A股,gssz0000423,东阿阿胶
000425,xgjx,A股,gssz0000425,徐工机械
000426,xyyx,A股,gssz0000426,兴业银锡
000428,htjd,A股,gssz0000428,华天酒店
000429,ygsa,A股,gssz0000429,粤高速A
000430,zjj,A股,gssz0000430,张家界
000488,cmzy,A股,gssz0000488,晨鸣纸业
000498,sdlq,A股,gssz0000498,山东路桥
000501,wsjt,A股,gssz0000501,武商集团
000503,gxjk,A股,gssz0000503,国新健康
000504,nhsw,A股,gssz0000504,南华生物
000505,jlkg,A股,gssz0000505,京粮控股
000506,zrzy,A股,gssz0000506,中润资源
000507,zhg,A股,gssz0000507,珠海港
000509,hskg,A股,gssz0000509,华塑控股
000510,xjl,A股,gssz0000510,新金路
000513,lzjt,A股,gssz0000513,丽珠集团
000514,ykf,A股,gssz0000514,渝开发
000516,gjyx,A股,gssz0000516,国际医学
000517,radc,A股,gssz0000517,荣安地产
000518,shsw,A股,gssz0000518,四环生物
000519,zbhj,A股,gssz0000519,中兵红箭
000520,fhhy,A股,gssz0000520,凤凰航运
000521,chml,A股,gssz0000521,长虹美菱
000523,gzlq,A股,gssz0000523,广州浪奇
000524,lnkg,A股,gssz0000524,岭南控股
000525,sthty,A股,gssz0000525,ST红太阳
000526,xdjy,A股,gssz0000526,学大教育
000528,lg,A股,gssz0000528,柳工
000529,ghkg,A股,gssz0000529,广弘控股
000530,bslr,A股,gssz0000530,冰山冷热
000531,shya,A股,gssz0000531,穗恒运A
000532,hjzb,A股,gssz0000532,华金资本
000533,sngf,A股,gssz0000533,顺钠股份
000534,wzgf,A股,gssz0000534,万泽股份
000536,hykj,A股,gssz0000536,华映科技
000537,gyfz,A股,gssz0000537,广宇发展
000538,ynby,A股,gssz0000538,云南白药
000539,ydla,A股,gssz0000539,粤电力A
000541,fszm,A股,gssz0000541,佛山照明
000543,wndl,A股,gssz0000543,皖能电力
000544,zyhb,A股,gssz0000544,中原环保
000545,jpty,A股,gssz0000545,金浦钛业
000546,jygf,A股,gssz0000546,金圆股份
000547,htfz,A股,gssz0000547,航天发展
000548,hntz,A股,gssz0000548,湖南投资
